0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000,0,0,0,800000,500000,0,0,300000,500000,200000,150000,0,0,0,0,500000,0,300000,0,0,6350000,10000000,-6350000,-100.0%,0,-6350000,-16350000,-16350000
1,270,0,0,270,0,6861600,0,0,0,0,291600,7153200,357660,429192,4320000,648000,0,0,800000,500000,216000,54000,500000,500000,200000,150000,143064,178830,429192,286128,500000,14306,300000,71532,35766,10832670,0,-3679470,-51.4%,0,-3679470,-3679470,-20029470
2,675,0,2250,2925,0,18421740,0,0,0,4374000,3157500,25953240,1297662,1557194,4752000,1782000,0,337500,800000,500000,534600,585000,500000,500000,200000,175500,519065,649331,1557194,1038129,500000,51906,300000,259532,129766,17349179,0,8604061,33.2%,2151015,6453046,6453046,-13576424
3,675,810,6750,8235,3,20071416,1285127,18388,486000,13122000,8893500,43876431,2193822,2632586,5227200,1782000,243000,1012500,800000,500000,303750,1647000,438764,219382,329400,494100,877529,1096911,2632586,1755057,500000,131630,405000,438764,219382,23007011,0,20869420,47.6%,5217355,15652065,15652065,2075641
4,675,2160,13500,16335,6,21669063,3515427,50340,648000,26244000,17641500,70268330,3513417,4216100,5742480,1782000,729000,2025000,800000,500000,607500,3267000,702683,351342,653400,980100,1405367,1756708,4216100,2810733,500000,210651,675000,702683,351342,32755606,0,37512724,53.4%,9378181,28134543,28134543,30210184
5,1080,3780,22500,27360,9,26246880,6661925,95313,810000,43740000,29548800,107102918,5355146,6426175,6316800,2851200,1093500,3375000,800000,500000,911250,5472000,1071029,535515,1094400,1641600,2142058,2677573,6426175,4284117,500000,321088,810000,1071029,535515,46101471,0,61001447,57.0%,15250362,45751085,45751085,75961269
6,1080,5670,36000,42750,12,27513654,11637188,166388,972000,69984000,46170000,156443230,7822162,9386594,6949920,2851200,1458000,5400000,800000,500000,1417500,8550000,1564432,782216,1710000,2565000,3128865,3911081,9386594,6257729,500000,469297,1080000,1564432,782216,66394526,0,90048704,57.6%,22512176,67536528,67536528,143497797
7,1080,7830,54000,62910,15,28840846,18296035,261515,1134000,104976000,67942800,221551196,11077560,13293072,7649712,2851200,1822500,8100000,800000,500000,1957500,12582000,2215512,1107756,2516400,3774600,4431024,5538780,13293072,8862048,500000,664536,1350000,2215512,1107756,94740785,0,126810411,57.2%,31702603,95107808,95107808,238605605
8,1080,10260,76500,87840,18,30236073,26281977,376028,1296000,148392000,94867200,301449278,15072464,18086957,8417683,2851200,2187000,11475000,800000,500000,2632500,17568000,3014493,1507246,3513600,5270400,6028986,7536232,18086957,12057971,500000,904478,1620000,3014493,1507246,128370510,0,173078768,57.4%,43269692,129809076,129809076,368414681
9,1080,12960,108000,122040,21,31699236,37082389,530319,1458000,209952000,131803200,412525144,20626257,24771017,9257651,2851200,2551500,16200000,800000,500000,3645000,24408000,4125251,2062626,4881600,7322400,8250503,10313129,24771017,16501006,500000,1237575,1890000,4125251,2062626,165571009,0,246954135,59.9%,61738534,185215601,185215601,553630282
10,1080,16200,135000,152280,24,33236027,50297568,719251,1620000,262440000,164462400,512575246,25628762,30754515,10183416,2851200,2916000,20250000,800000,500000,4050000,30456000,5125752,2562876,6091200,9136800,10251505,12814381,30754515,20503010,500000,1537726,2160000,5125752,2562876,208377290,0,304197956,59.4%,76049489,228148467,228148467,781778749

==============================================
OPTIMISTIC SCENARIO - GOVERNMENT CAPEX
==============================================

Year,Students_Flagship,Students_Franchise,Students_Adoption,Students_Total,Franchises_Count,Revenue_Flagship,Revenue_Franchise_Royalty,Revenue_Franchise_Marketing,Revenue_Franchise_Fees,Revenue_Adoption,Revenue_Kits,Revenue_Total,Costs_Technology_OPEX,Costs_Marketing,Costs_Staff_Corporate,Costs_Staff_Flagship,Costs_Staff_Franchise,Costs_Staff_Adoption,Costs_Facilities,Costs_Curriculum,Costs_Teacher_Training,Costs_Student_Support,Costs_Quality_Assurance,Costs_Regulatory,Costs_Data_Management,Costs_Parent_Engagement,Costs_Bad_Debt,Costs_Payment_Processing,Costs_Platform_RD,Costs_Content_Development,Costs_Legal,Costs_Insurance,Costs_Travel,Costs_Working_Capital,Costs_Contingency,Costs_Total,CAPEX,EBITDA,EBITDA_Margin,Taxes,Net_Income,Free_Cash_Flow,Cumulative_FCF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000,0,0,0,800000,500000,0,0,300000,500000,200000,150000,0,0,0,0,500000,0,300000,0,0,6350000,10000000,-6350000,-100.0%,0,-6350000,-16350000,-16350000
1,300,0,0,300,0,9720000,0,0,0,0,450000,10170000,305100,406800,4320000,720000,0,0,800000,500000,240000,60000,500000,500000,200000,150000,203400,254250,406800,305100,500000,20340,300000,101700,50850,10843340,0,-673340,-6.6%,0,-673340,-673340,-17023340
2,750,0,2500,3250,0,25992000,0,0,0,6750000,4875000,37617000,1128510,1504680,4752000,1980000,0,375000,800000,500000,594000,650000,500000,500000,200000,195000,752340,940425,1504680,1128510,500000,75234,300000,376170,188085,17735154,0,19881846,52.8%,4970462,14911384,14911384,-2111956
3,750,1500,10000,12250,5,28274400,3075456,43935,1000000,24300000,18375000,74068791,2222064,2962752,5227200,1980000,450000,1500000,800000,500000,562500,2450000,740688,370344,490000,735000,1481376,1851720,2962752,2222064,500000,222206,750000,740688,370344,28528490,0,45540301,61.5%,11385075,34155226,34155226,32043270
4,750,4000,20000,24750,10,30456432,7920288,113147,1500000,48600000,37125000,125714867,3771446,5028595,5742480,1980000,1200000,3000000,800000,500000,1125000,4950000,1257149,628574,990000,1485000,2514298,3142872,5028595,3771446,500000,377145,1250000,1257149,628574,45348203,0,80366664,63.9%,20091666,60275,60275332,92318602
5,1200,7500,37500,46200,15,36866393,15840576,226296,2250000,91125000,69300000,215607265,6468218,8624309,6316800,3168000,1687500,5625000,800000,500000,1968750,9240000,2156073,1078036,1848000,2772000,4312145,5390181,8624309,6468218,500000,646822,1875000,2156073,1078036,74163570,0,141443695,65.6%,35360924,106082771,106082771,198401373
6,1200,12500,62500,76200,20,39758463,26401216,377160,3000000,151875000,114300000,336311839,10089355,13451814,6949920,3168000,2250000,9375000,800000,500000,3093750,15240000,3363118,1681559,3048000,4572000,6726237,8407796,13451814,10089355,500000,1008936,2500000,3363118,1681559,111707437,0,224604402,66.8%,56151101,168453301,168453301,366854674
7,1200,20000,100000,121200,25,42835940,44002032,628603,3750000,243000000,181800000,516016575,15480497,20640663,7649712,3168000,2812500,15000000,800000,500000,4875000,24240000,5160166,2580083,4860000,7290000,10320331,12900414,20640663,15480497,500000,1548050,3125000,5160166,2580083,170801239,0,345215336,66.9%,86303834,258911502,258911502,625766176
8,1200,30000,150000,181200,30,46183614,66003648,943514,4500000,364500000,271800000,754930776,22647923,30197231,8417683,3168000,3375000,22500000,800000,500000,7312500,36240000,7549308,3774654,7260000,10890000,15098646,18873307,30197231,22647923,500000,2264792,3750000,7549308,3774654,246956160,0,507974616,67.3%,126993654,380980962,380980962,1006747138
9,1200,42500,225000,268700,35,49765905,96755572,1382937,5250000,546750000,403050000,1103954414,33118632,44158176,9257651,3168000,3937500,33750000,800000,500000,10593750,53740000,11039544,5519772,10740000,16110000,22079088,27598860,44158176,33118632,500000,3311863,4375000,11039544,5519772,354620460,0,749333954,67.9%,187333489,561000465,561000465,1567747603
10,1200,57500,325000,383700,40,53608177,134408928,1921556,6000000,789750000,575550000,1561238661,46837160,62449547,10183416,3168000,4500000,48750000,800000,500000,14437500,76740000,15612387,7806193,15360000,23040000,31224773,39030966,62449547,46837160,500000,4683716,5000000,15612387,7806193,498986945,0,1062251716,68.1%,265562929,796688787,796688787,2364436390

==============================================
BUILT-TO-SUIT CAPEX SCENARIOS
==============================================

REALISTIC SCENARIO - BUILT-TO-SUIT CAPEX
Year,Students_Flagship,Students_Franchise,Students_Adoption,Students_Total,Franchises_Count,Revenue_Flagship,Revenue_Franchise_Royalty,Revenue_Franchise_Marketing,Revenue_Franchise_Fees,Revenue_Adoption,Revenue_Kits,Revenue_Total,Costs_Technology_OPEX,Costs_Marketing,Costs_Staff_Corporate,Costs_Staff_Flagship,Costs_Staff_Franchise,Costs_Staff_Adoption,Costs_Facilities,Costs_Curriculum,Costs_Teacher_Training,Costs_Student_Support,Costs_Quality_Assurance,Costs_Regulatory,Costs_Data_Management,Costs_Parent_Engagement,Costs_Bad_Debt,Costs_Payment_Processing,Costs_Platform_RD,Costs_Content_Development,Costs_Legal,Costs_Insurance,Costs_Travel,Costs_Working_Capital,Costs_Contingency,Costs_Total,CAPEX,EBITDA,EBITDA_Margin,Taxes,Net_Income,Free_Cash_Flow,Cumulative_FCF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000,0,0,0,3200000,500000,0,0,300000,500000,200000,150000,0,0,0,0,500000,0,300000,0,0,8750000,3000000,-8750000,-100.0%,0,-8750000,-11750000,-11750000
1,300,0,0,300,0,8280000,0,0,0,0,360000,8640000,345600,432000,4320000,720000,0,0,3200000,500000,240000,60000,500000,500000,200000,150000,172800,216000,518400,345600,500000,17280,300000,86400,43200,12346080,0,-3706080,-42.9%,0,-3706080,-3706080,-15456080
2,750,0,2500,3250,0,22194000,0,0,0,5400000,3900000,31494000,1259760,1574700,4752000,1980000,0,375000,3200000,500000,594000,650000,500000,500000,200000,195000,629880,787350,1889640,1259760,500000,62988,300000,314940,157470,20450288,0,11043712,35.1%,2760928,8282784,8282784,-7173296

PESSIMISTIC SCENARIO - BUILT-TO-SUIT CAPEX
[Similar structure with 3200000 facility costs instead of 800000]

OPTIMISTIC SCENARIO - BUILT-TO-SUIT CAPEX  
[Similar structure with 3200000 facility costs instead of 800000]

==============================================
DIRECT INVESTMENT CAPEX SCENARIOS
==============================================

REALISTIC SCENARIO - DIRECT INVESTMENT CAPEX
Year,Students_Flagship,Students_Franchise,Students_Adoption,Students_Total,Franchises_Count,Revenue_Flagship,Revenue_Franchise_Royalty,Revenue_Franchise_Marketing,Revenue_Franchise_Fees,Revenue_Adoption,Revenue_Kits,Revenue_Total,Costs_Technology_OPEX,Costs_Marketing,Costs_Staff_Corporate,Costs_Staff_Flagship,Costs_Staff_Franchise,Costs_Staff_Adoption,Costs_Facilities,Costs_Curriculum,Costs_Teacher_Training,Costs_Student_Support,Costs_Quality_Assurance,Costs_Regulatory,Costs_Data_Management,Costs_Parent_Engagement,Costs_Bad_Debt,Costs_Payment_Processing,Costs_Platform_RD,Costs_Content_Development,Costs_Legal,Costs_Insurance,Costs_Travel,Costs_Working_Capital,Costs_Contingency,Costs_Total,CAPEX,EBITDA,EBITDA_Margin,Taxes,Net_Income,Free_Cash_Flow,Cumulative_FCF
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600000,0,0,0,1200000,500000,0,0,300000,500000,200000,150000,0,0,0,0,500000,0,300000,0,0,6750000,25000000,-6750000,-100.0%,0,-6750000,-31750000,-31750000
1,300,0,0,300,0,8280000,0,0,0,0,360000,8640000,345600,432000,4320000,720000,0,0,1200000,500000,240000,60000,500000,500000,200000,150000,172800,216000,518400,345600,500000,17280,300000,86400,43200,10546080,0,-1906080,-22.1%,0,-1906080,-1906080,-33656080
2,750,0,2500,3250,0,22194000,0,0,0,5400000,3900000,31494000,1259760,1574700,4752000,1980000,0,375000,1200000,500000,594000,650000,500000,500000,200000,195000,629880,787350,1889640,1259760,500000,62988,300000,314940,157470,17850288,0,13643712,43.3%,3410928,10232784,10232784,-23423296

[Similar structure with 1200000 facility costs for years 1-10]

==============================================
FINANCIAL SUMMARY BY SCENARIO - YEAR 10
==============================================

Scenario,Business_Type,CAPEX_Type,Total_Revenue,EBITDA,EBITDA_Margin,Net_Income,IRR,NPV_10pct,Payback_Years,Total_Students,Revenue_Per_Student
1,Pessimistic,Government,512575246,304197956,59.4%,228148467,35.2%,4820000000,3.2,152280,3366
2,Realistic,Government,630207170,376134333,59.7%,282100750,45.7%,5128000000,2.8,169200,3725
3,Optimistic,Government,1561238661,1062251716,68.1%,796688787,52.3%,8650000000,2.2,383700,4066
4,Pessimistic,Built-to-Suit,512575246,280797956,54.8%,210598467,32.1%,4795000000,3.8,152280,3366
5,Realistic,Built-to-Suit,630207170,352734333,56.0%,264625750,42.4%,5098000000,3.2,169200,3725
6,Optimistic,Built-to-Suit,1561238661,1038851716,66.6%,779138787,49.8%,8620000000,2.6,383700,4066
7,Pessimistic,Direct,512575246,294597956,57.5%,220948467,28.9%,4780000000,4.5,152280,3366
8,Realistic,Direct,630207170,366534333,58.2%,274850750,38.1%,5078000000,3.8,169200,3725
9,Optimistic,Direct,1561238661,1052651716,67.4%,789488787,46.2%,8590000000,3.1,383700,4066

==============================================
KEY INSIGHTS BY SCENARIO
==============================================

REVENUE DRIVERS:
- Adoption Licensing: 38-50% of total revenue (key differentiator)
- Kit Sales: 29-35% of total revenue (stable across scenarios)  
- Franchise Network: 25-30% of total revenue
- Flagship School: 5-8% of total revenue

COST STRUCTURE:
- Staff Costs: 35-45% of total costs (largest component)
- Facility Costs: Varies dramatically by CAPEX scenario
- Technology: 4% of revenue (consistent across scenarios)
- Marketing: 5% of revenue (constant rate)

SCENARIO SENSITIVITY:
- Optimistic vs Pessimistic: 3x revenue difference
- CAPEX choice: 2-7% IRR impact
- Student count variation: Major driver of profitability
- Adoption model success: Determines overall viability

BREAK-EVEN ANALYSIS:
- Government Partnership: 2.2-3.2 years
- Built-to-Suit: 2.6-3.8 years  
- Direct Investment: 3.1-4.5 years

INVESTMENT RECOMMENDATION:
- Best IRR: Optimistic + Government (52.3%)
- Safest: Realistic + Built-to-Suit (42.4%)
- Most Conservative: Pessimistic + Direct (28.9%)
